Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Mujeres;14 Murcia, Región de;89 años;2025;2.456,552762
Mujeres;14 Murcia, Región de;89 años;2024;2.432
Mujeres;14 Murcia, Región de;90 años;2041;""
Mujeres;14 Murcia, Región de;90 años;2040;""
Mujeres;14 Murcia, Región de;90 años;2039;3.192,797959
Mujeres;14 Murcia, Región de;90 años;2038;2.863,978893
Mujeres;14 Murcia, Región de;90 años;2037;2.808,905475
Mujeres;14 Murcia, Región de;90 años;2036;2.931,400393
Mujeres;14 Murcia, Región de;90 años;2035;2.640,220054
Mujeres;14 Murcia, Región de;90 años;2034;2.428,549048
Mujeres;14 Murcia, Región de;90 años;2033;2.169,706515
Mujeres;14 Murcia, Región de;90 años;2032;2.132,227674
Mujeres;14 Murcia, Región de;90 años;2031;2.771,243567
Mujeres;14 Murcia, Región de;90 años;2030;1.638,150693
Mujeres;14 Murcia, Región de;90 años;2029;2.306,147732
Mujeres;14 Murcia, Región de;90 años;2028;2.204,475945
Mujeres;14 Murcia, Región de;90 años;2027;2.242,734177
Mujeres;14 Murcia, Región de;90 años;2026;2.175,683551
Mujeres;14 Murcia, Región de;90 años;2025;2.149,602599
Mujeres;14 Murcia, Región de;90 años;2024;2.168
Mujeres;14 Murcia, Región de;91 años;2041;""
Mujeres;14 Murcia, Región de;91 años;2040;""
Mujeres;14 Murcia, Región de;91 años;2039;2.550,86877
Mujeres;14 Murcia, Región de;91 años;2038;2.496,734404
Mujeres;14 Murcia, Región de;91 años;2037;2.601,139907
Mujeres;14 Murcia, Región de;91 años;2036;2.339,828595
Mujeres;14 Murcia, Región de;91 años;2035;2.149,690167
Mujeres;14 Murcia, Región de;91 años;2034;1.916,728188
Mujeres;14 Murcia, Región de;91 años;2033;1.878,830811
Mujeres;14 Murcia, Región de;91 años;2032;2.437,720474
Mujeres;14 Murcia, Región de;91 años;2031;1.439,98547
Mujeres;14 Murcia, Región de;91 años;2030;2.019,897384
Mujeres;14 Murcia, Región de;91 años;2029;1.928,196277
Mujeres;14 Murcia, Región de;91 años;2028;1.957,415117
Mujeres;14 Murcia, Región de;91 años;2027;1.895,196288
Mujeres;14 Murcia, Región de;91 años;2026;1.868,080864
Mujeres;14 Murcia, Región de;91 años;2025;1.879,840842
Mujeres;14 Murcia, Región de;91 años;2024;1.765
Mujeres;14 Murcia, Región de;92 años;2041;""
Mujeres;14 Murcia, Región de;92 años;2040;""
Mujeres;14 Murcia, Región de;92 años;2039;2.192,386822
Mujeres;14 Murcia, Región de;92 años;2038;2.279,744891
Mujeres;14 Murcia, Región de;92 años;2037;2.047,798098
Mujeres;14 Murcia, Región de;92 años;2036;1.878,814364
Mujeres;14 Murcia, Región de;92 años;2035;1.671,557437
Mujeres;14 Murcia, Región de;92 años;2034;1.634,028244
Mujeres;14 Murcia, Región de;92 años;2033;2.116,030154
Mujeres;14 Murcia, Región de;92 años;2032;1.248,856073
Mujeres;14 Murcia, Región de;92 años;2031;1.745,147248
Mujeres;14 Murcia, Región de;92 años;2030;1.663,277158
Mujeres;14 Murcia, Región de;92 años;2029;1.684,454891
Mujeres;14 Murcia, Región de;92 años;2028;1.627,429071
Mujeres;14 Murcia, Región de;92 años;2027;1.600,073193
Mujeres;14 Murcia, Región de;92 años;2026;1.606,274276
Mujeres;14 Murcia, Región de;92 años;2025;1.504,6111
Mujeres;14 Murcia, Región de;92 años;2024;1.454
Mujeres;14 Murcia, Región de;93 años;2041;""
Mujeres;14 Murcia, Región de;93 años;2040;""
Mujeres;14 Murcia, Región de;93 años;2039;1.971,056932
Mujeres;14 Murcia, Región de;93 años;2038;1.767,616324
Mujeres;14 Murcia, Región de;93 años;2037;1.619,161909
Mujeres;14 Murcia, Región de;93 años;2036;1.437,101975
Mujeres;14 Murcia, Región de;93 años;2035;1.400,678544
Mujeres;14 Murcia, Región de;93 años;2034;1.809,901562
Mujeres;14 Murcia, Región de;93 años;2033;1.066,992969
Mujeres;14 Murcia, Región de;93 años;2032;1.484,986277
Mujeres;14 Murcia, Región de;93 años;2031;1.412,677178
Mujeres;14 Murcia, Región de;93 años;2030;1.426,844678
Mujeres;14 Murcia, Región de;93 años;2029;1.375,2453
Mujeres;14 Murcia, Región de;93 años;2028;1.348,345536
Mujeres;14 Murcia, Región de;93 años;2027;1.349,997597
Mujeres;14 Murcia, Región de;93 años;2026;1.261,305487
Mujeres;14 Murcia, Región de;93 años;2025;1.215,163927
Mujeres;14 Murcia, Región de;93 años;2024;1.196
Mujeres;14 Murcia, Región de;94 años;2041;""
Mujeres;14 Murcia, Región de;94 años;2040;""
Mujeres;14 Murcia, Región de;94 años;2039;1.503,079381
Mujeres;14 Murcia, Región de;94 años;2038;1.374,284893
Mujeres;14 Murcia, Región de;94 años;2037;1.216,563844
Mujeres;14 Murcia, Región de;94 años;2036;1.181,940904
Mujeres;14 Murcia, Región de;94 años;2035;1.523,49932
Mujeres;14 Murcia, Región de;94 años;2034;896,907291
Mujeres;14 Murcia, Región de;94 años;2033;1.242,916467
Mujeres;14 Murcia, Región de;94 años;2032;1.179,792756
Mujeres;14 Murcia, Región de;94 años;2031;1.188,057833
Mujeres;14 Murcia, Región de;94 años;2030;1.142,022157
Mujeres;14 Murcia, Región de;94 años;2029;1.116,216535
Mujeres;14 Murcia, Región de;94 años;2028;1.114,322989
Mujeres;14 Murcia, Región de;94 años;2027;1.038,147533
Mujeres;14 Murcia, Región de;94 años;2026;996,871788
Mujeres;14 Murcia, Región de;94 años;2025;977,739568
Mujeres;14 Murcia, Región de;94 años;2024;849
Mujeres;14 Murcia, Región de;95 años;2041;""
Mujeres;14 Murcia, Región de;95 años;2040;""
Mujeres;14 Murcia, Región de;95 años;2039;1.148,002344
Mujeres;14 Murcia, Región de;95 años;2038;1.013,388234
Mujeres;14 Murcia, Región de;95 años;2037;981,209111
Mujeres;14 Murcia, Región de;95 años;2036;1.261,317288
Mujeres;14 Murcia, Región de;95 años;2035;741,330917
Mujeres;14 Murcia, Región de;95 años;2034;1.022,730494
Mujeres;14 Murcia, Región de;95 años;2033;968,335453
Mujeres;14 Murcia, Región de;95 años;2032;971,907546
Mujeres;14 Murcia, Región de;95 años;2031;931,492084
Mujeres;14 Murcia, Región de;95 años;2030;907,377987
Mujeres;14 Murcia, Región de;95 años;2029;902,968295
Mujeres;14 Murcia, Región de;95 años;2028;838,623044
Mujeres;14 Murcia, Región de;95 años;2027;802,448734
Mujeres;14 Murcia, Región de;95 años;2026;784,172764
Mujeres;14 Murcia, Región de;95 años;2025;678,856066
Mujeres;14 Murcia, Región de;95 años;2024;630
Mujeres;14 Murcia, Región de;96 años;2041;""
Mujeres;14 Murcia, Región de;96 años;2040;""
Mujeres;14 Murcia, Región de;96 años;2039;829,639634
Mujeres;14 Murcia, Región de;96 años;2038;800,40793
Mujeres;14 Murcia, Región de;96 años;2037;1.025,816092
Mujeres;14 Murcia, Región de;96 años;2036;601,724072
Mujeres;14 Murcia, Región de;96 años;2035;826,284474
Mujeres;14 Murcia, Región de;96 años;2034;780,057933
Mujeres;14 Murcia, Región de;96 años;2033;780,087766
Mujeres;14 Murcia, Región de;96 años;2032;745,211167
Mujeres;14 Murcia, Región de;96 años;2031;723,243163
Mujeres;14 Murcia, Región de;96 años;2030;717,228939
Mujeres;14 Murcia, Región de;96 años;2029;663,822799
Mujeres;14 Murcia, Región de;96 años;2028;632,772663
Mujeres;14 Murcia, Región de;96 años;2027;615,946021
Mujeres;14 Murcia, Región de;96 años;2026;531,448687
Mujeres;14 Murcia, Región de;96 años;2025;491,382766
Mujeres;14 Murcia, Región de;96 años;2024;416
Mujeres;14 Murcia, Región de;97 años;2041;""
Mujeres;14 Murcia, Región de;97 años;2040;""
Mujeres;14 Murcia, Región de;97 años;2039;641,366106
Mujeres;14 Murcia, Región de;97 años;2038;819,328795
Mujeres;14 Murcia, Región de;97 años;2037;479,479376
Mujeres;14 Murcia, Región de;97 años;2036;655,320507
Mujeres;14 Murcia, Región de;97 años;2035;616,614239
Mujeres;14 Murcia, Región de;97 años;2034;614,192991
Mujeres;14 Murcia, Región de;97 años;2033;584,645351
Mujeres;14 Murcia, Región de;97 años;2032;565,143979
Mujeres;14 Murcia, Región de;97 años;2031;558,3309
Mujeres;14 Murcia, Región de;97 años;2030;514,792989
Mujeres;14 Murcia, Región de;97 años;2029;488,701012
Mujeres;14 Murcia, Región de;97 años;2028;473,718664
Mujeres;14 Murcia, Región de;97 años;2027;407,22042
Mujeres;14 Murcia, Región de;97 años;2026;375,013233
Mujeres;14 Murcia, Región de;97 años;2025;316,172586
Mujeres;14 Murcia, Región de;97 años;2024;329
Mujeres;14 Murcia, Región de;98 años;2041;""
Mujeres;14 Murcia, Región de;98 años;2040;""
Mujeres;14 Murcia, Región de;98 años;2039;644,65403
Mujeres;14 Murcia, Región de;98 años;2038;376,303535
Mujeres;14 Murcia, Región de;98 años;2037;512,029701
Mujeres;14 Murcia, Región de;98 años;2036;480,129094
Mujeres;14 Murcia, Región de;98 años;2035;476,32929
Mujeres;14 Murcia, Región de;98 años;2034;451,795331
Mujeres;14 Murcia, Región de;98 años;2033;434,978412
Mujeres;14 Murcia, Región de;98 años;2032;428,11708
Mujeres;14 Murcia, Región de;98 años;2031;393,210584
Mujeres;14 Murcia, Región de;98 años;2030;371,755337
Mujeres;14 Murcia, Región de;98 años;2029;358,869692
Mujeres;14 Murcia, Región de;98 años;2028;307,317823
Mujeres;14 Murcia, Región de;98 años;2027;281,871086
Mujeres;14 Murcia, Región de;98 años;2026;236,677966
Mujeres;14 Murcia, Región de;98 años;2025;245,008407
Mujeres;14 Murcia, Región de;98 años;2024;213
Mujeres;14 Murcia, Región de;99 años;2041;""
Mujeres;14 Murcia, Región de;99 años;2040;""
Mujeres;14 Murcia, Región de;99 años;2039;290,485548
Mujeres;14 Murcia, Región de;99 años;2038;393,6515
Mujeres;14 Murcia, Región de;99 años;2037;367,793935
Mujeres;14 Murcia, Región de;99 años;2036;363,401852
Mujeres;14 Murcia, Región de;99 años;2035;343,440509
Mujeres;14 Murcia, Región de;99 años;2034;329,321117
Mujeres;14 Murcia, Región de;99 años;2033;322,89679
Mujeres;14 Murcia, Región de;99 años;2032;295,387152
Mujeres;14 Murcia, Región de;99 años;2031;278,110128
Mujeres;14 Murcia, Región de;99 años;2030;267,349087
Mujeres;14 Murcia, Región de;99 años;2029;228,004936
Mujeres;14 Murcia, Región de;99 años;2028;208,237984
Mujeres;14 Murcia, Región de;99 años;2027;174,094712
Mujeres;14 Murcia, Región de;99 años;2026;179,330361
Mujeres;14 Murcia, Región de;99 años;2025;155,188016
Mujeres;14 Murcia, Región de;99 años;2024;133
Mujeres;14 Murcia, Región de;100 y más años;2041;""
Mujeres;14 Murcia, Región de;100 y más años;2040;""
Mujeres;14 Murcia, Región de;100 y más años;2039;833,736927
Mujeres;14 Murcia, Región de;100 y más años;2038;781,78944
Mujeres;14 Murcia, Región de;100 y más años;2037;739,622
Mujeres;14 Murcia, Región de;100 y más años;2036;689,478574
Mujeres;14 Murcia, Región de;100 y más años;2035;643,149487
Mujeres;14 Murcia, Región de;100 y más años;2034;596,001801
Mujeres;14 Murcia, Región de;100 y más años;2033;539,509349
Mujeres;14 Murcia, Región de;100 y más años;2032;489,999695
Mujeres;14 Murcia, Región de;100 y más años;2031;439,754107
Mujeres;14 Murcia, Región de;100 y más años;2030;381,241208
Mujeres;14 Murcia, Región de;100 y más años;2029;338,292793
Mujeres;14 Murcia, Región de;100 y más años;2028;298,050824
Mujeres;14 Murcia, Región de;100 y más años;2027;275,530328
Mujeres;14 Murcia, Región de;100 y más años;2026;239,834552
Mujeres;14 Murcia, Región de;100 y más años;2025;212,952018
Mujeres;14 Murcia, Región de;100 y más años;2024;197
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2041;""
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2040;""
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2039;380.266,985577
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2038;378.930,925379
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2037;377.559,731699
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2036;376.138,877099
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2035;374.644,332328
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2034;373.045,066502
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2033;371.302,813174
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2032;369.369,114435
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2031;367.187,901747
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2030;364.702,298392
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2029;361.857,509644
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2028;358.614,340778
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2027;354.961,75979
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2026;350.939,484144
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2025;346.666,527993
Mujeres;15 Navarra, Comunidad Foral de;Todas las edades;2024;342.383
Mujeres;15 Navarra, Comunidad Foral de;0 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;0 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;0 años;2039;2.893,577735
Mujeres;15 Navarra, Comunidad Foral de;0 años;2038;2.847,979981
Mujeres;15 Navarra, Comunidad Foral de;0 años;2037;2.800,726489
Mujeres;15 Navarra, Comunidad Foral de;0 años;2036;2.752,527513
Mujeres;15 Navarra, Comunidad Foral de;0 años;2035;2.704,315085
Mujeres;15 Navarra, Comunidad Foral de;0 años;2034;2.656,791371
Mujeres;15 Navarra, Comunidad Foral de;0 años;2033;2.609,96314
Mujeres;15 Navarra, Comunidad Foral de;0 años;2032;2.563,4176
Mujeres;15 Navarra, Comunidad Foral de;0 años;2031;2.516,919174
Mujeres;15 Navarra, Comunidad Foral de;0 años;2030;2.469,8553
Mujeres;15 Navarra, Comunidad Foral de;0 años;2029;2.421,896957
Mujeres;15 Navarra, Comunidad Foral de;0 años;2028;2.373,234884
Mujeres;15 Navarra, Comunidad Foral de;0 años;2027;2.324,33666
Mujeres;15 Navarra, Comunidad Foral de;0 años;2026;2.277,101901
Mujeres;15 Navarra, Comunidad Foral de;0 años;2025;2.234,960202
Mujeres;15 Navarra, Comunidad Foral de;0 años;2024;2.095
Mujeres;15 Navarra, Comunidad Foral de;1 año;2041;""
Mujeres;15 Navarra, Comunidad Foral de;1 año;2040;""
Mujeres;15 Navarra, Comunidad Foral de;1 año;2039;2.884,773395
Mujeres;15 Navarra, Comunidad Foral de;1 año;2038;2.837,983455
Mujeres;15 Navarra, Comunidad Foral de;1 año;2037;2.790,444454
Mujeres;15 Navarra, Comunidad Foral de;1 año;2036;2.743,171973
Mujeres;15 Navarra, Comunidad Foral de;1 año;2035;2.696,957555
Mujeres;15 Navarra, Comunidad Foral de;1 año;2034;2.651,903281
Mujeres;15 Navarra, Comunidad Foral de;1 año;2033;2.607,686374
Mujeres;15 Navarra, Comunidad Foral de;1 año;2032;2.564,130658
Mujeres;15 Navarra, Comunidad Foral de;1 año;2031;2.520,644965
Mujeres;15 Navarra, Comunidad Foral de;1 año;2030;2.476,848125
Mujeres;15 Navarra, Comunidad Foral de;1 año;2029;2.432,771838
Mujeres;15 Navarra, Comunidad Foral de;1 año;2028;2.388,585112
Mujeres;15 Navarra, Comunidad Foral de;1 año;2027;2.345,685419
Mujeres;15 Navarra, Comunidad Foral de;1 año;2026;2.306,754872
Mujeres;15 Navarra, Comunidad Foral de;1 año;2025;2.170,597586
Mujeres;15 Navarra, Comunidad Foral de;1 año;2024;2.357
Mujeres;15 Navarra, Comunidad Foral de;2 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;2 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;2 años;2039;2.875,817259
Mujeres;15 Navarra, Comunidad Foral de;2 años;2038;2.828,737513
Mujeres;15 Navarra, Comunidad Foral de;2 años;2037;2.782,126473
Mujeres;15 Navarra, Comunidad Foral de;2 años;2036;2.736,857598
Mujeres;15 Navarra, Comunidad Foral de;2 años;2035;2.693,126598
Mujeres;15 Navarra, Comunidad Foral de;2 años;2034;2.650,708378
Mujeres;15 Navarra, Comunidad Foral de;2 años;2033;2.609,509121
Mujeres;15 Navarra, Comunidad Foral de;2 años;2032;2.568,999597
Mujeres;15 Navarra, Comunidad Foral de;2 años;2031;2.528,812438
Mujeres;15 Navarra, Comunidad Foral de;2 años;2030;2.488,917577
Mujeres;15 Navarra, Comunidad Foral de;2 años;2029;2.449,320472
Mujeres;15 Navarra, Comunidad Foral de;2 años;2028;2.411,097176
Mujeres;15 Navarra, Comunidad Foral de;2 años;2027;2.376,412019
Mujeres;15 Navarra, Comunidad Foral de;2 años;2026;2.246,036498
Mujeres;15 Navarra, Comunidad Foral de;2 años;2025;2.428,47853
Mujeres;15 Navarra, Comunidad Foral de;2 años;2024;2.585
Mujeres;15 Navarra, Comunidad Foral de;3 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;3 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;3 años;2039;2.865,287156
Mujeres;15 Navarra, Comunidad Foral de;3 años;2038;2.819,115922
Mujeres;15 Navarra, Comunidad Foral de;3 años;2037;2.774,475145
Mujeres;15 Navarra, Comunidad Foral de;3 años;2036;2.731,642221
Mujeres;15 Navarra, Comunidad Foral de;3 años;2035;2.690,484002
Mujeres;15 Navarra, Comunidad Foral de;3 años;2034;2.650,994597
Mujeres;15 Navarra, Comunidad Foral de;3 años;2033;2.612,728382
Mujeres;15 Navarra, Comunidad Foral de;3 años;2032;2.575,374533
Mujeres;15 Navarra, Comunidad Foral de;3 años;2031;2.538,913864
Mujeres;15 Navarra, Comunidad Foral de;3 años;2030;2.503,297481
Mujeres;15 Navarra, Comunidad Foral de;3 años;2029;2.469,436453
Mujeres;15 Navarra, Comunidad Foral de;3 años;2028;2.439,189013
Mujeres;15 Navarra, Comunidad Foral de;3 años;2027;2.315,656124
Mujeres;15 Navarra, Comunidad Foral de;3 años;2026;2.497,346578
Mujeres;15 Navarra, Comunidad Foral de;3 años;2025;2.653,315242
Mujeres;15 Navarra, Comunidad Foral de;3 años;2024;2.581
Mujeres;15 Navarra, Comunidad Foral de;4 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;4 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;4 años;2039;2.854,97551
Mujeres;15 Navarra, Comunidad Foral de;4 años;2038;2.810,735582
Mujeres;15 Navarra, Comunidad Foral de;4 años;2037;2.768,484297
Mujeres;15 Navarra, Comunidad Foral de;4 años;2036;2.728,169875
Mujeres;15 Navarra, Comunidad Foral de;4 años;2035;2.689,870648
Mujeres;15 Navarra, Comunidad Foral de;4 años;2034;2.653,230764
Mujeres;15 Navarra, Comunidad Foral de;4 años;2033;2.618,018278
Mujeres;15 Navarra, Comunidad Foral de;4 años;2032;2.584,267918
Mujeres;15 Navarra, Comunidad Foral de;4 años;2031;2.551,94781
Mujeres;15 Navarra, Comunidad Foral de;4 años;2030;2.521,913167
Mujeres;15 Navarra, Comunidad Foral de;4 años;2029;2.495,871627
Mujeres;15 Navarra, Comunidad Foral de;4 años;2028;2.379,28981
Mujeres;15 Navarra, Comunidad Foral de;4 años;2027;2.562,000387
Mujeres;15 Navarra, Comunidad Foral de;4 años;2026;2.719,149438
Mujeres;15 Navarra, Comunidad Foral de;4 años;2025;2.649,276904
Mujeres;15 Navarra, Comunidad Foral de;4 años;2024;2.748
Mujeres;15 Navarra, Comunidad Foral de;5 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;5 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;5 años;2039;2.846,116154
Mujeres;15 Navarra, Comunidad Foral de;5 años;2038;2.804,21751
Mujeres;15 Navarra, Comunidad Foral de;5 años;2037;2.764,430677
Mujeres;15 Navarra, Comunidad Foral de;5 años;2036;2.726,909046
Mujeres;15 Navarra, Comunidad Foral de;5 años;2035;2.691,383149
Mujeres;15 Navarra, Comunidad Foral de;5 años;2034;2.657,70691
Mujeres;15 Navarra, Comunidad Foral de;5 años;2033;2.625,991911
Mujeres;15 Navarra, Comunidad Foral de;5 años;2032;2.596,265827
Mujeres;15 Navarra, Comunidad Foral de;5 años;2031;2.569,400135
Mujeres;15 Navarra, Comunidad Foral de;5 años;2030;2.547,060522
Mujeres;15 Navarra, Comunidad Foral de;5 años;2029;2.436,969193
Mujeres;15 Navarra, Comunidad Foral de;5 años;2028;2.621,550418
Mujeres;15 Navarra, Comunidad Foral de;5 años;2027;2.780,843191
Mujeres;15 Navarra, Comunidad Foral de;5 años;2026;2.715,504354
Mujeres;15 Navarra, Comunidad Foral de;5 años;2025;2.816,14795
Mujeres;15 Navarra, Comunidad Foral de;5 años;2024;2.957
Mujeres;15 Navarra, Comunidad Foral de;6 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;6 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;6 años;2039;2.839,671213
Mujeres;15 Navarra, Comunidad Foral de;6 años;2038;2.800,197949
Mujeres;15 Navarra, Comunidad Foral de;6 años;2037;2.763,160545
Mujeres;15 Navarra, Comunidad Foral de;6 años;2036;2.728,367698
Mujeres;15 Navarra, Comunidad Foral de;6 años;2035;2.695,757014
Mujeres;15 Navarra, Comunidad Foral de;6 años;2034;2.665,524308
Mujeres;15 Navarra, Comunidad Foral de;6 años;2033;2.637,778073
Mujeres;15 Navarra, Comunidad Foral de;6 años;2032;2.613,446538
Mujeres;15 Navarra, Comunidad Foral de;6 años;2031;2.594,219881
Mujeres;15 Navarra, Comunidad Foral de;6 años;2030;2.489,862163
Mujeres;15 Navarra, Comunidad Foral de;6 años;2029;2.676,470926
Mujeres;15 Navarra, Comunidad Foral de;6 años;2028;2.838,371604
Mujeres;15 Navarra, Comunidad Foral de;6 años;2027;2.778,480871
Mujeres;15 Navarra, Comunidad Foral de;6 años;2026;2.883,038067
Mujeres;15 Navarra, Comunidad Foral de;6 años;2025;3.021,043838
Mujeres;15 Navarra, Comunidad Foral de;6 años;2024;3.148
Mujeres;15 Navarra, Comunidad Foral de;7 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;7 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;7 años;2039;2.835,968712
Mujeres;15 Navarra, Comunidad Foral de;7 años;2038;2.799,204371
Mujeres;15 Navarra, Comunidad Foral de;7 años;2037;2.764,854958
Mujeres;15 Navarra, Comunidad Foral de;7 años;2036;2.732,933749
Mujeres;15 Navarra, Comunidad Foral de;7 años;2035;2.703,718516
Mujeres;15 Navarra, Comunidad Foral de;7 años;2034;2.677,404932
Mujeres;15 Navarra, Comunidad Foral de;7 años;2033;2.654,998633
Mujeres;15 Navarra, Comunidad Foral de;7 años;2032;2.638,252254
Mujeres;15 Navarra, Comunidad Foral de;7 años;2031;2.538,770366
Mujeres;15 Navarra, Comunidad Foral de;7 años;2030;2.727,160165
Mujeres;15 Navarra, Comunidad Foral de;7 años;2029;2.891,651964
Mujeres;15 Navarra, Comunidad Foral de;7 años;2028;2.837,350767
Mujeres;15 Navarra, Comunidad Foral de;7 años;2027;2.946,693009
Mujeres;15 Navarra, Comunidad Foral de;7 años;2026;3.084,610313
Mujeres;15 Navarra, Comunidad Foral de;7 años;2025;3.210,79826
Mujeres;15 Navarra, Comunidad Foral de;7 años;2024;3.283
Mujeres;15 Navarra, Comunidad Foral de;8 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;8 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;8 años;2039;2.835,818492
Mujeres;15 Navarra, Comunidad Foral de;8 años;2038;2.801,715888
Mujeres;15 Navarra, Comunidad Foral de;8 años;2037;2.770,212666
Mujeres;15 Navarra, Comunidad Foral de;8 años;2036;2.741,660447
Mujeres;15 Navarra, Comunidad Foral de;8 años;2035;2.716,338837
Mujeres;15 Navarra, Comunidad Foral de;8 años;2034;2.695,336104
Mujeres;15 Navarra, Comunidad Foral de;8 años;2033;2.680,484814
Mujeres;15 Navarra, Comunidad Foral de;8 años;2032;2.585,04428
Mujeres;15 Navarra, Comunidad Foral de;8 años;2031;2.774,73943
Mujeres;15 Navarra, Comunidad Foral de;8 años;2030;2.941,558666
Mujeres;15 Navarra, Comunidad Foral de;8 años;2029;2.892,502634
Mujeres;15 Navarra, Comunidad Foral de;8 años;2028;3.006,712185
Mujeres;15 Navarra, Comunidad Foral de;8 años;2027;3.146,040017
Mujeres;15 Navarra, Comunidad Foral de;8 años;2026;3.273,869542
Mujeres;15 Navarra, Comunidad Foral de;8 años;2025;3.346,226416
Mujeres;15 Navarra, Comunidad Foral de;8 años;2024;3.395
Mujeres;15 Navarra, Comunidad Foral de;9 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;9 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;9 años;2039;2.839,171259
Mujeres;15 Navarra, Comunidad Foral de;9 años;2038;2.807,891682
Mujeres;15 Navarra, Comunidad Foral de;9 años;2037;2.779,732466
Mujeres;15 Navarra, Comunidad Foral de;9 años;2036;2.755,048438
Mujeres;15 Navarra, Comunidad Foral de;9 años;2035;2.735,006882
Mujeres;15 Navarra, Comunidad Foral de;9 años;2034;2.721,524217
Mujeres;15 Navarra, Comunidad Foral de;9 años;2033;2.629,375355
Mujeres;15 Navarra, Comunidad Foral de;9 años;2032;2.819,818103
Mujeres;15 Navarra, Comunidad Foral de;9 años;2031;2.988,522364
Mujeres;15 Navarra, Comunidad Foral de;9 años;2030;2.944,119702
Mujeres;15 Navarra, Comunidad Foral de;9 años;2029;3.062,816843
Mujeres;15 Navarra, Comunidad Foral de;9 años;2028;3.204,168079
Mujeres;15 Navarra, Comunidad Foral de;9 años;2027;3.334,816716
Mujeres;15 Navarra, Comunidad Foral de;9 años;2026;3.409,714353
Mujeres;15 Navarra, Comunidad Foral de;9 años;2025;3.456,812398
Mujeres;15 Navarra, Comunidad Foral de;9 años;2024;3.534
Mujeres;15 Navarra, Comunidad Foral de;10 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;10 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;10 años;2039;2.846,241394
Mujeres;15 Navarra, Comunidad Foral de;10 años;2038;2.818,273407
Mujeres;15 Navarra, Comunidad Foral de;10 años;2037;2.793,947307
Mujeres;15 Navarra, Comunidad Foral de;10 años;2036;2.774,500867
Mujeres;15 Navarra, Comunidad Foral de;10 años;2035;2.761,930774
Mujeres;15 Navarra, Comunidad Foral de;10 años;2034;2.672,441336
Mujeres;15 Navarra, Comunidad Foral de;10 años;2033;2.863,073671
Mujeres;15 Navarra, Comunidad Foral de;10 años;2032;3.033,134005
Mujeres;15 Navarra, Comunidad Foral de;10 años;2031;2.992,702582
Mujeres;15 Navarra, Comunidad Foral de;10 años;2030;3.115,273906
Mujeres;15 Navarra, Comunidad Foral de;10 años;2029;3.258,707409
Mujeres;15 Navarra, Comunidad Foral de;10 años;2028;3.392,554299
Mujeres;15 Navarra, Comunidad Foral de;10 años;2027;3.471,171405
Mujeres;15 Navarra, Comunidad Foral de;10 años;2026;3.519,252105
Mujeres;15 Navarra, Comunidad Foral de;10 años;2025;3.596,587485
Mujeres;15 Navarra, Comunidad Foral de;10 años;2024;3.409
Mujeres;15 Navarra, Comunidad Foral de;11 años;2041;""
Mujeres;15 Navarra, Comunidad Foral de;11 años;2040;""
Mujeres;15 Navarra, Comunidad Foral de;11 años;2039;2.857,580113
Mujeres;15 Navarra, Comunidad Foral de;11 años;2038;2.833,411921
Mujeres;15 Navarra, Comunidad Foral de;11 años;2037;2.814,28424
