Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Total;Total Nacional;15 años;2027;527.320,593388
Total;Total Nacional;15 años;2026;531.058,2978
Total;Total Nacional;15 años;2025;530.626,622389
Total;Total Nacional;15 años;2024;544.055
Total;Total Nacional;16 años;2041;""
Total;Total Nacional;16 años;2040;""
Total;Total Nacional;16 años;2039;417.485,472133
Total;Total Nacional;16 años;2038;430.263,690289
Total;Total Nacional;16 años;2037;433.012,580458
Total;Total Nacional;16 años;2036;449.463,452191
Total;Total Nacional;16 años;2035;464.073,579769
Total;Total Nacional;16 años;2034;485.612,557987
Total;Total Nacional;16 años;2033;503.618,885283
Total;Total Nacional;16 años;2032;511.966,663809
Total;Total Nacional;16 años;2031;516.774,031692
Total;Total Nacional;16 años;2030;508.987,063676
Total;Total Nacional;16 años;2029;530.040,156941
Total;Total Nacional;16 años;2028;536.650,168593
Total;Total Nacional;16 años;2027;541.255,738675
Total;Total Nacional;16 años;2026;541.547,321492
Total;Total Nacional;16 años;2025;555.227,505425
Total;Total Nacional;16 años;2024;525.575
Total;Total Nacional;17 años;2041;""
Total;Total Nacional;17 años;2040;""
Total;Total Nacional;17 años;2039;436.271,262341
Total;Total Nacional;17 años;2038;439.002,013141
Total;Total Nacional;17 años;2037;455.438,579437
Total;Total Nacional;17 años;2036;470.057,457403
Total;Total Nacional;17 años;2035;491.662,795214
Total;Total Nacional;17 años;2034;509.852,834351
Total;Total Nacional;17 años;2033;518.562,099391
Total;Total Nacional;17 años;2032;523.904,215632
Total;Total Nacional;17 años;2031;516.896,185616
Total;Total Nacional;17 años;2030;538.757,49241
Total;Total Nacional;17 años;2029;546.357,459444
Total;Total Nacional;17 años;2028;551.981,216099
Total;Total Nacional;17 años;2027;553.286,905784
Total;Total Nacional;17 años;2026;567.712,23198
Total;Total Nacional;17 años;2025;538.522,763371
Total;Total Nacional;17 años;2024;525.095
Total;Total Nacional;18 años;2041;""
Total;Total Nacional;18 años;2040;""
Total;Total Nacional;18 años;2039;445.824,884262
Total;Total Nacional;18 años;2038;462.208,289746
Total;Total Nacional;18 años;2037;476.784,936399
Total;Total Nacional;18 años;2036;498.395,537079
Total;Total Nacional;18 años;2035;516.697,678198
Total;Total Nacional;18 años;2034;525.687,119766
Total;Total Nacional;18 años;2033;531.479,093307
Total;Total Nacional;18 años;2032;525.166,927756
Total;Total Nacional;18 años;2031;547.783,462082
Total;Total Nacional;18 años;2030;556.358,302621
Total;Total Nacional;18 años;2029;563.058,091462
Total;Total Nacional;18 años;2028;565.544,429503
Total;Total Nacional;18 años;2027;581.045,800815
Total;Total Nacional;18 años;2026;552.864,040426
Total;Total Nacional;18 años;2025;539.744,719606
Total;Total Nacional;18 años;2024;522.878
Total;Total Nacional;19 años;2041;""
Total;Total Nacional;19 años;2040;""
Total;Total Nacional;19 años;2039;469.792,562664
Total;Total Nacional;19 años;2038;484.280,531963
Total;Total Nacional;19 años;2037;505.836,946194
Total;Total Nacional;19 años;2036;524.177,534356
Total;Total Nacional;19 años;2035;533.358,847268
Total;Total Nacional;19 años;2034;539.500,951933
Total;Total Nacional;19 años;2033;533.776,862974
Total;Total Nacional;19 años;2032;557.053,838782
Total;Total Nacional;19 años;2031;566.528,107225
Total;Total Nacional;19 años;2030;574.276,206819
Total;Total Nacional;19 años;2029;577.993,993476
Total;Total Nacional;19 años;2028;594.750,169235
Total;Total Nacional;19 años;2027;567.929,285583
Total;Total Nacional;19 años;2026;555.738,473934
Total;Total Nacional;19 años;2025;539.048,314681
Total;Total Nacional;19 años;2024;528.007
Total;Total Nacional;20 años;2041;""
Total;Total Nacional;20 años;2040;""
Total;Total Nacional;20 años;2039;492.503,709539
Total;Total Nacional;20 años;2038;513.953,261274
Total;Total Nacional;20 años;2037;532.262,852482
Total;Total Nacional;20 años;2036;541.547,969977
Total;Total Nacional;20 años;2035;547.934,058926
Total;Total Nacional;20 años;2034;542.674,684616
Total;Total Nacional;20 años;2033;566.485,63994
Total;Total Nacional;20 años;2032;576.734,466919
Total;Total Nacional;20 años;2031;585.429,418179
Total;Total Nacional;20 años;2030;590.325,8352
Total;Total Nacional;20 años;2029;608.374,682405
Total;Total Nacional;20 años;2028;583.085,127236
Total;Total Nacional;20 años;2027;572.209,671271
Total;Total Nacional;20 años;2026;556.392,936352
Total;Total Nacional;20 años;2025;545.452,731279
Total;Total Nacional;20 años;2024;525.639
Total;Total Nacional;21 años;2041;""
Total;Total Nacional;21 años;2040;""
Total;Total Nacional;21 años;2039;522.644,678757
Total;Total Nacional;21 años;2038;540.864,417846
